node,location,time,rules,primary,downsample,richness,links,connectance,diameter,complexity,distance,basal,top,generality,vulnerability,S1,S2,S4,S5
guild,Dolomites,3,minimum,false,true,13,34,0.20118343195266272,12,0.8706303683452675,3.0,6.0,0.0,3.404371247344154,1.7097008285302207,0.0,2.0,2.0,9.0
guild,Dolomites,4,minimum,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Dolomites,4,minimum,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Dolomites,4,minimum,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Dolomites,4,minimum,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Dolomites,5,minimum,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Dolomites,5,minimum,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Dolomites,5,minimum,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Dolomites,5,minimum,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,1,maximal,true,false,362,9617,0.07338756448215866,326,0.7646603218813357,2.0,1.0,6.0,62.32998835480108,24.48227969260127,3.0,0.0,46363.0,0.0
species,Dolomites,1,maximal,true,true,355,4075,0.03233485419559611,325,0.9319362755983095,2.0,302.0,2.0,36.09061851076448,5.119087894705157,6884.0,3087.0,3529.0,58060.0
species,Dolomites,1,maximal,false,false,362,9617,0.07338756448215866,326,0.7646603218813357,2.0,1.0,6.0,62.32998835480108,24.48227969260127,3.0,0.0,46363.0,0.0
species,Dolomites,1,maximal,false,true,355,4076,0.03234278912914104,325,0.9322972309688861,2.0,302.0,2.0,36.04950421569625,5.053004640054929,3426.0,1883.0,2054.0,28105.0
species,Dolomites,2,maximal,true,false,56,234,0.07461734693877552,55,0.9053212318174583,2.0,1.0,0.0,10.460500844705187,5.454296531116606,11.0,0.0,796.0,0.0
species,Dolomites,2,maximal,true,true,46,163,0.07703213610586011,43,0.6293785649997178,2.0,40.0,2.0,11.17279736530577,1.1870883471592804,0.0,0.0,0.0,6.0
species,Dolomites,2,maximal,false,false,56,234,0.07461734693877552,55,0.9053212318174583,2.0,1.0,0.0,10.460500844705187,5.454296531116606,11.0,0.0,796.0,0.0
species,Dolomites,2,maximal,false,true,45,166,0.0819753086419753,42,0.6174427842438805,2.0,38.0,2.0,11.351456098472811,1.1642832797715321,0.0,0.0,0.0,10.0
species,Dolomites,3,maximal,true,false,68,324,0.07006920415224914,65,0.895627062718107,3.0,1.0,2.0,11.320457834550927,6.133143741264316,15.0,0.0,1095.0,0.0
species,Dolomites,3,maximal,true,true,65,159,0.03763313609467456,64,0.9398757988143793,3.0,54.0,0.0,7.737955901816805,1.4473118317976739,2.0,1.0,11.0,163.0
species,Dolomites,3,maximal,false,false,68,324,0.07006920415224914,65,0.895627062718107,3.0,1.0,2.0,11.320457834550927,6.133143741264316,15.0,0.0,1095.0,0.0
species,Dolomites,3,maximal,false,true,65,173,0.040946745562130175,60,0.9132610869491368,3.0,55.0,1.0,8.288314294605017,1.6981324583653201,70.0,63.0,50.0,1148.0
species,Dolomites,4,maximal,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,4,maximal,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,4,maximal,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,4,maximal,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,5,maximal,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,5,maximal,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,5,maximal,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,5,maximal,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,1,minimum,true,false,339,8814,0.07669616519174041,309,0.7703177118445651,2.0,1.0,0.0,58.897564269866685,23.850868020377032,3.0,0.0,39624.0,0.0
species,Dolomites,1,minimum,true,true,338,3170,0.027747627884177724,303,0.9241672445548408,2.0,284.0,2.0,33.17409909139768,3.5892712811971332,3150.0,785.0,1501.0,32320.0
species,Dolomites,1,minimum,false,false,339,8814,0.07669616519174041,309,0.7703177118445651,2.0,1.0,0.0,58.897564269866685,23.850868020377032,3.0,0.0,39624.0,0.0
species,Dolomites,1,minimum,false,true,338,3173,0.02777388746892616,305,0.9287224357916997,2.0,285.0,3.0,33.0989985150945,3.868854487628321,3924.0,1309.0,2709.0,18346.0
species,Dolomites,2,minimum,true,false,56,234,0.07461734693877552,55,0.9053212318174583,2.0,1.0,0.0,10.460500844705187,5.454296531116606,11.0,0.0,796.0,0.0
species,Dolomites,2,minimum,true,true,46,169,0.07986767485822306,39,0.6799012983039325,2.0,39.0,0.0,11.205265325483943,1.1166288118178047,0.0,0.0,1.0,0.0
species,Dolomites,2,minimum,false,false,56,234,0.07461734693877552,55,0.9053212318174583,2.0,1.0,0.0,10.460500844705187,5.454296531116606,11.0,0.0,796.0,0.0
species,Dolomites,2,minimum,false,true,42,163,0.09240362811791383,39,0.6401431471994129,2.0,36.0,0.0,11.582582341818002,0.7392277101362051,0.0,0.0,0.0,0.0
species,Dolomites,3,minimum,true,false,50,221,0.0884,49,0.9097027272186007,3.0,1.0,0.0,8.785632984525105,4.798341550228898,14.0,0.0,469.0,0.0
species,Dolomites,3,minimum,true,true,49,134,0.0558100791336943,48,0.8643708346025634,3.0,41.0,0.0,7.330801201676622,1.8794448449396084,0.0,0.0,0.0,0.0
species,Dolomites,3,minimum,false,false,50,221,0.0884,49,0.9097027272186007,3.0,1.0,0.0,8.785632984525105,4.798341550228898,14.0,0.0,469.0,0.0
species,Dolomites,3,minimum,false,true,50,135,0.054,49,0.8887839564270774,3.0,39.0,0.0,7.152136829262273,1.6567733578204573,6.0,14.0,3.0,243.0
species,Dolomites,4,minimum,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,4,minimum,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,4,minimum,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,4,minimum,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,5,minimum,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,5,minimum,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,5,minimum,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Dolomites,5,minimum,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,1,maximal,true,false,38,146,0.10110803324099724,28,0.8780786313112143,3.0,1.0,3.0,6.859699448894299,4.81285618289897,2.0,0.0,407.0,0.0
trophic,Dolomites,1,maximal,true,true,30,72,0.08,24,0.9005937318395056,3.0,22.0,1.0,5.715073837276053,1.069966161243848,9.0,2.0,1.0,104.0
trophic,Dolomites,1,maximal,false,false,38,146,0.10110803324099724,28,0.8780786313112143,3.0,1.0,3.0,6.859699448894299,4.81285618289897,2.0,0.0,407.0,0.0
trophic,Dolomites,1,maximal,false,true,32,79,0.0771484375,25,0.9173443411415224,3.0,21.0,1.0,5.639631508209299,1.4364915817769797,1.0,0.0,10.0,29.0
trophic,Dolomites,2,maximal,true,false,19,46,0.12742382271468145,13,0.9730194590947379,3.0,1.0,0.0,3.5639520740274993,2.3408400551389006,5.0,0.0,55.0,0.0
trophic,Dolomites,2,maximal,true,true,18,27,0.08333333333333333,13,0.9381124126637944,3.0,11.0,0.0,3.185444839191131,0.7071067811865476,1.0,0.0,2.0,6.0
trophic,Dolomites,2,maximal,false,false,19,46,0.12742382271468145,13,0.9730194590947379,3.0,1.0,0.0,3.5639520740274993,2.3408400551389006,5.0,0.0,55.0,0.0
trophic,Dolomites,2,maximal,false,true,19,28,0.07756232686980609,12,0.9002179766515634,3.0,14.0,0.0,3.372576019283769,0.611775290321498,2.0,0.0,0.0,31.0
trophic,Dolomites,3,maximal,true,false,27,93,0.12757201646090535,20,0.9200754183515719,3.0,1.0,1.0,5.387544990590893,3.3779071050365506,5.0,0.0,130.0,0.0
trophic,Dolomites,3,maximal,true,true,25,47,0.0752,19,0.9254085688735817,3.0,16.0,0.0,4.085747585611884,1.0923979738782625,6.0,2.0,12.0,44.0
trophic,Dolomites,3,maximal,false,false,27,93,0.12757201646090535,20,0.9200754183515719,3.0,1.0,1.0,5.387544990590893,3.3779071050365506,5.0,0.0,130.0,0.0
trophic,Dolomites,3,maximal,false,true,23,48,0.09073724007561437,18,0.8829736811508285,3.0,17.0,0.0,4.611379634598235,1.3454652280315154,0.0,0.0,0.0,1.0
trophic,Dolomites,4,maximal,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,4,maximal,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,4,maximal,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
trophic,Dolomites,4,maximal,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
